sample_0504	sample_0520	0
sample_0504	sample_0503	0
sample_0504	sample_0528	0
sample_0504	sample_0541	0
sample_0504	sample_0530	0
sample_0504	sample_0545	0
sample_0504	sample_0527	0
sample_0093	sample_0121	0
sample_0093	sample_0108	0
sample_0093	sample_0107	0
sample_0093	sample_0137	0
sample_0253	sample_0168	0
sample_0253	sample_0241	0
sample_0253	sample_0269	0
sample_0253	sample_0212	0
sample_0542	sample_0852	0
sample_0542	sample_0859	0
sample_0644	sample_0667	0
sample_0644	sample_0652	0
sample_0644	sample_0659	0
sample_0644	sample_0658	0
sample_0583	sample_0584	0
sample_0583	sample_0596	0
sample_0190	sample_0189	0
sample_0127	sample_0592	0
sample_0573	sample_0179	0
sample_0071	sample_0072	0
sample_0864	sample_0851	0
sample_0322	sample_0423	0
sample_0744	sample_0704	0
sample_0397	sample_0334	0
sample_0515	sample_0507	0
sample_0697	sample_0711	0
sample_0433	sample_0432	0
sample_0827	sample_0835	0
sample_0426	sample_0424	0
sample_0442	sample_0441	0
sample_0790	sample_0777	0
sample_0784	sample_0786	0
sample_0714	sample_0734	0
sample_0046	sample_0048	0
sample_0204	sample_0203	0
sample_0687	sample_0675	0
sample_0431	sample_0403	0
sample_0438	sample_0439	0
sample_0666	sample_0635	0
sample_0295	sample_0309	0
sample_0384	sample_0385	0
sample_0119	sample_0118	0
sample_0052	sample_0049	0
sample_0046	sample_0311	1
sample_0784	sample_0785	1
sample_0864	sample_0816	1
sample_0631	sample_0648	0
sample_0718	sample_0700	1
sample_0798	sample_0772	1
sample_0745	sample_0733	1
sample_0864	sample_0699	1
sample_0644	sample_0679	1
sample_0595	sample_0588	0
sample_0272	sample_0273	1
sample_0746	sample_0757	1
sample_0746	sample_0799	1
sample_0504	sample_0543	1
sample_0504	sample_0820	1
sample_0504	sample_0542	1
sample_0595	sample_0582	0
sample_0191	sample_0171	1
sample_0716	sample_0737	1
sample_0669	sample_0748	1
sample_0669	sample_0862	1
sample_0324	sample_0691	1
sample_0515	sample_0548	1
sample_0322	sample_0721	1
sample_0573	sample_0447	1
sample_0504	sample_0845	1
sample_0018	sample_0020	1
sample_0464	sample_0419	0
sample_0324	sample_0720	1
sample_0655	sample_0293	1
sample_0749	sample_0654	1
sample_0749	sample_0758	1
sample_0393	sample_0451	1
sample_0393	sample_0448	1
sample_0820	sample_0814	1
sample_0583	sample_0586	1
sample_0093	sample_0190	1
sample_0191	sample_0086	1
sample_0684	sample_0656	1
sample_0393	sample_0216	1
sample_0393	sample_0206	1
sample_0369	sample_0374	1
sample_0386	sample_0312	1
sample_0573	sample_0567	1
sample_0213	sample_0209	0
sample_0504	sample_0523	1
sample_0386	sample_0516	1
sample_0583	sample_0590	1
sample_0093	sample_0109	1
sample_0504	sample_0532	1
sample_0496	sample_0508	1
sample_0220	sample_0240	1
sample_0066	sample_0067	0
sample_0316	sample_0370	1
sample_0224	sample_0230	0
sample_0036	sample_0579	1
sample_0353	sample_0284	1
sample_0383	sample_0326	2
sample_0843	sample_0671	2
sample_0046	sample_0263	2
sample_0263	sample_0774	2
sample_0864	sample_0611	2
sample_0257	sample_0743	2
sample_0718	sample_0731	2
sample_0798	sample_0756	2
sample_0745	sample_0798	1
sample_0204	sample_0123	1
sample_0864	sample_0745	2
