sequence	MST-78x1.0
NGPT17386	G002
NGPT17390	G002
NGPT17391	G016
NGPT17393	G008
NGPT17394	G044
NGPT17396	G001
NGPT17398	G014
NGPT17399	G001
NGPT17400	G009
NGPT17401	G027
NGPT17402	G001
NGPT17403	G004
NGPT17405	G016
NGPT17406	G003
NGPT17407	G040
NGPT17408	G001
NGPT17409	G021
NGPT17412	G099
NGPT17413	G014
NGPT17414	G112
NGPT17417	G014
NGPT17418	G079
NGPT17419	G068
NGPT17420	G167
NGPT17422	G044
NGPT17423	G003
NGPT17425	G009
NGPT17428	G016
NGPT17430	G079
NGPT17431	G001
NGPT17433	G001
NGPT17434	G001
NGPT17437	G016
NGPT17438	G001
NGPT17439	G021
NGPT17441	G004
NGPT17442	G040
NGPT17447	G016
NGPT17448	G016
NGPT17449	G004
NGPT17450	G014
NGPT17453	G008
NGPT17454	G016
NGPT17455	G008
NGPT17456	G016
NGPT17457	G134
NGPT17458	G006
NGPT17459	G008
NGPT17460	G014
NGPT17462	G004
NGPT17463	G004
NGPT17464	G015
NGPT17466	G016
NGPT17467	G027
NGPT17468	G028
NGPT17469	G001
NGPT17474	G021
NGPT17475	G015
NGPT17476	G049
NGPT17477	G009
NGPT17479	G127
NGPT17480	G016
NGPT17481	G001
NGPT17483	G079
NGPT17487	G142
NGPT17488	G021
NGPT17489	G014
NGPT17490	G016
NGPT17492	G014
NGPT17493	G027
NGPT17494	G068
NGPT17496	G049
NGPT17500	G034
NGPT17502	G008
NGPT17506	G016
NGPT17507	G001
NGPT17508	G004
NGPT17510	G164
NGPT17512	G009
NGPT17513	G101
NGPT17515	G008
NGPT17516	G008
NGPT17517	G008
ECDC_SK13_057	G008
ECDC_SK13_058	G001
ECDC_SK13_059	G001
ECDC_SK13_060	G001
ECDC_SK13_061	G001
ECDC_SK13_062	G002
ECDC_SK13_063	G002
ECDC_SK13_064	G001
ECDC_SK13_065	G002
ECDC_SK13_066	G001
ECDC_SK13_067	G002
ECDC_SK13_068	G002
ECDC_SK13_069	G002
ECDC_SK13_070	G003
ECDC_SK13_071	G003
ECDC_SK13_072	G002
ECDC_SK13_073	G002
ECDC_SK13_074	G001
ECDC_SK13_075	G002
ECDC_SK13_076	G008
ECDC_SK13_077	G002
ECDC_SK13_078	G002
ECDC_SK13_079	G001
ECDC_SK13_080	G002
ECDC_SK13_081	G003
ECDC_SK13_082	G003
ECDC_SK13_083	G003
ECDC_SK13_084	G002
ECDC_SK13_085	G035
ECDC_SK13_086	G015
ECDC_SK13_087	G001
ECDC_SK13_088	G003
ECDC_SK13_090	G003
ECDC_SK13_091	G003
ECDC_SK13_092	G003
ECDC_SK13_093	G001
ECDC_SK13_094	G002
ECDC_SK13_095	G001
ECDC_SK13_097	G001
ECDC_SK13_098	G002
ECDC_SK13_099	G002
ECDC_SK13_100	G002
ECDC_SK13_101	G003
ECDC_SK13_102	G003
ECDC_SK13_103	G002
ECDC_SK13_104	G001
ECDC_SK13_105	G004
ECDC_SK13_106	G003
ECDC_SK13_107	G003
ECDC_SK13_108	G001
ECDC_SK13_109	G003
ECDC_SK13_110	G005
ECDC_SK13_111	G003
ECDC_SK13_112	G002
ECDC_SI13_020	G001
ECDC_SI13_021	G014
ECDC_SI13_022	G053
ECDC_SI13_023	G053
ECDC_SI13_024	G008
ECDC_SI13_025	G006
ECDC_SI13_026	G002
ECDC_SI13_027	G006
ECDC_SI13_028	G061
ECDC_SI13_029	G053
ECDC_SI13_030	G013
ECDC_SI13_031	G003
ECDC_SI13_032	G003
ECDC_SI13_033	G013
ECDC_SI13_034	G003
ECDC_SI13_035	G013
ECDC_SI13_036	G006
ECDC_SI13_037	G013
ECDC_SI13_038	G001
ECDC_SI13_039	G005
ECDC_SI13_040	G053
ECDC_SI13_041	G013
ECDC_SI13_043	G053
ECDC_SI13_045	G006
ECDC_SI13_046	G006
ECDC_SI13_047	G006
ECDC_SI13_048	G006
ECDC_SI13_049	G002
ECDC_SI13_052	G009
ECDC_SI13_053	G006
ECDC_SI13_055	G009
ECDC_SI13_057	G006
ECDC_SI13_059	G008
ECDC_SI13_060	G001
ECDC_SI13_061	G003
ECDC_SI13_062	G029
ECDC_SI13_063	G002
ECDC_SI13_064	G002
ECDC_SI13_065	G029
ECDC_SI13_066	G029
ECDC_SI13_067	G029
ECDC_SI13_068	G002
ECDC_SI13_069	G075
ECDC_SI13_070	G003
ECDC_SI13_071	G029
ECDC_SI13_072	G029
ECDC_SI13_073	G003
ECDC_SI13_074	G002
ECDC_SI13_075	G003
ECDC_SI13_076	G029
ECDC_SI13_077	G013
ECDC_SI13_079	G013
ECDC_SI13_080	G003
ECDC_SI13_081	G002
ECDC_ES001	G008
ECDC_ES002	G001
ECDC_ES003	G008
ECDC_ES004	G015
ECDC_ES006	G015
ECDC_ES007	G002
ECDC_ES009	G010
ECDC_ES010	G002
ECDC_ES011	G001
ECDC_ES012	G001
ECDC_ES013	G012
ECDC_ES014	G002
ECDC_ES015	G002
ECDC_ES016	G002
ECDC_ES017	G002
ECDC_ES018	G031
ECDC_ES019	G002
ECDC_ES020	G018
ECDC_ES021	G001
ECDC_ES022	G035
ECDC_ES023	G005
ECDC_ES024	G002
ECDC_ES025	G002
ECDC_ES026	G018
ECDC_ES027	G012
ECDC_ES028	G004
ECDC_ES029	G011
ECDC_ES030	G012
ECDC_ES031	G002
ECDC_ES032	G004
ECDC_ES033	G001
ECDC_ES034	G006
ECDC_ES035	G006
ECDC_ES037	G048
ECDC_ES038	G009
ECDC_ES039	G006
ECDC_ES040	G008
ECDC_ES041	G009
ECDC_ES042	G009
ECDC_ES043	G002
ECDC_ES044	G002
ECDC_ES045	G005
ECDC_ES046	G006
ECDC_ES047	G006
ECDC_ES048	G002
ECDC_ES049	G012
ECDC_ES050	G004
ECDC_ES051	G001
ECDC_ES052	G002
ECDC_ES053	G017
ECDC_ES054	G004
ECDC_ES055	G002
ECDC_ES056	G002
ECDC_ES057	G008
ECDC_ES058	G002
ECDC_ES059	G002
ECDC_T2_ES001	G003
ECDC_T2_ES002	G002
ECDC_T2_ES003	G001
ECDC_T2_ES004	G013
ECDC_T2_ES005	G042
ECDC_T2_ES006	G008
ECDC_T2_ES007	G001
ECDC_T2_ES008	G004
ECDC_T2_ES009	G006
ECDC_T2_ES010	G005
ECDC_T2_ES011	G002
ECDC_T2_ES012	G015
ECDC_T2_ES013	G025
ECDC_T2_ES014	G001
ECDC_T2_ES015	G002
ECDC_T2_ES016	G004
ECDC_T2_ES017	G012
ECDC_T2_ES018	G001
ECDC_T2_ES019	G002
ECDC_T2_ES020	G002
ECDC_T2_ES021	G002
ECDC_T2_ES022	G001
ECDC_T2_ES023	G001
ECDC_T2_ES024	G001
ECDC_T2_ES025	G001
ECDC_T2_ES026	G021
ECDC_T2_ES027	G003
ECDC_T2_ES028	G006
ECDC_T2_ES029	G018
ECDC_T2_ES030	G006
ECDC_T2_ES031	G002
ECDC_T2_ES032	G014
ECDC_T2_ES033	G013
ECDC_T2_ES035	G013
ECDC_T2_ES036	G005
ECDC_T2_ES037	G002
ECDC_T2_ES038	G004
ECDC_T2_ES039	G004
ECDC_T2_ES040	G004
ECDC_T2_ES041	G001
ECDC_T2_ES042	G004
ECDC_T2_ES043	G011
ECDC_T2_ES044	G003
ECDC_T2_ES046	G006
ECDC_T2_ES047	G052
ECDC_T2_ES048	G002
ECDC_T2_ES049	G001
ECDC_T2_ES050	G006
ECDC_T2_ES051	G004
ECDC_T2_ES052	G019
ECDC_T2_ES053	G001
ECDC_T2_ES054	G005
ECDC_T2_ES055	G011
ECDC_T2_ES056	G002
ECDC_T2_ES057	G052
ECDC_T2_ES058	G133
ECDC_T2_ES059	G005
ECDC_T2_ES060	G005
ECDC_SE13_051	G002
ECDC_SE13_052	G006
ECDC_SE13_053	G002
ECDC_SE13_054	G002
ECDC_SE13_055	G014
ECDC_SE13_056	G006
ECDC_SE13_057	G004
ECDC_SE13_058	G001
ECDC_SE13_059	G008
ECDC_SE13_060	G006
ECDC_SE13_061	G107
ECDC_SE13_062	G070
ECDC_SE13_063	G002
ECDC_SE13_064	G005
ECDC_SE13_065	G002
ECDC_SE13_066	G001
ECDC_SE13_067	G084
ECDC_SE13_068	G008
ECDC_SE13_069	G002
ECDC_SE13_070	G067
ECDC_SE13_071	G001
ECDC_SE13_072	G001
ECDC_SE13_073	G002
ECDC_SE13_074	G006
ECDC_SE13_075	G002
ECDC_SE13_076	G107
ECDC_SE13_077	G001
ECDC_SE13_078	G006
ECDC_SE13_079	G008
ECDC_SE13_080	G008
ECDC_SE13_081	G008
ECDC_SE13_082	G019
ECDC_SE13_083	G002
ECDC_SE13_084	G002
ECDC_SE13_085	G002
ECDC_SE13_086	G001
ECDC_SE13_087	G002
ECDC_SE13_089	G001
ECDC_SE13_090	G001
ECDC_SE13_091	G044
ECDC_SE13_092	G004
ECDC_SE13_093	G001
ECDC_SE13_094	G001
ECDC_SE13_095	G012
ECDC_SE13_096	G020
ECDC_SE13_097	G001
ECDC_SE13_098	G177
ECDC_SE13_099	G001
ECDC_SE13_100	G105
101259	G060
101260	G001
101261	G001
101262	G001
101263	G001
101266	G006
110944	G001
110945	G002
110946	G083
110947	G001
110948	G083
110949	G002
110950	G002
110951	G091
SRR3343472	G001
SRR3343473	G012
SRR3343474	G010
SRR3343475	G018
SRR3343476	G001
SRR3343477	G002
SRR3343479	G033
SRR3343480	G118
SRR3343481	G001
SRR3343482	G011
SRR3343483	G010
SRR3343484	G025
SRR3343485	G018
SRR3343486	G005
SRR3343488	G001
SRR3343489	G012
SRR3343490	G001
SRR3343491	G011
SRR3343492	G002
SRR3343493	G001
SRR3343494	G006
SRR3343495	G009
SRR3343496	G009
SRR3343497	G012
SRR3343498	G001
SRR3343499	G001
SRR3343500	G001
SRR3343501	G010
SRR3343502	G007
SRR3343503	G009
SRR3343504	G011
SRR3343505	G033
SRR3343506	G009
SRR3343507	G025
SRR3343508	G012
SRR3343509	G001
SRR3343510	G001
SRR3343511	G012
SRR3343512	G012
SRR3343513	G002
SRR3343514	G017
SRR3343515	G001
SRR3343516	G001
SRR3343517	G025
SRR3343518	G017
SRR3343519	G092
SRR3343520	G003
SRR3343521	G025
SRR3343523	G004
SRR3343524	G006
SRR3343525	G012
SRR3343526	G008
SRR3343527	G010
SRR3343528	G005
SRR3343529	G004
SRR3343530	G006
SRR3343531	G012
SRR3343532	G017
SRR3343533	G010
SRR3343534	G020
SRR3343535	G006
SRR3343536	G012
SRR3343537	G001
SRR3343538	G002
SRR3343539	G143
SRR3343540	G036
SRR3343541	G001
SRR3343542	G012
SRR3343543	G014
SRR3343544	G012
SRR3343545	G012
SRR3343546	G012
SRR3343547	G012
SRR3343548	G011
SRR3343550	G009
SRR3343551	G016
SRR3343553	G001
SRR3343554	G012
SRR3343555	G008
SRR3343556	G010
SRR3343557	G006
SRR3343558	G009
SRR3343559	G073
SRR3343560	G001
SRR3343561	G010
SRR3343562	G011
SRR3343563	G011
SRR3343564	G012
SRR3343565	G012
SRR3343566	G004
SRR3343567	G001
SRR3343568	G018
SRR3343569	G010
SRR3343570	G001
SRR3343572	G004
SRR3343574	G003
SRR3343575	G009
SRR3343576	G012
SRR3343577	G009
SRR3343578	G009
SRR3343579	G001
SRR3343580	G017
SRR3343581	G012
SRR3343582	G001
SRR3343583	G017
SRR3343585	G001
SRR3343586	G013
SRR3343587	G012
SRR3343588	G011
SRR3343589	G018
SRR3343590	G073
SRR3343591	G001
SRR3343592	G001
SRR3343593	G014
SRR3343594	G008
SRR3343595	G025
SRR3343596	G005
SRR3343597	G017
SRR3343598	G001
SRR3343599	G002
SRR3343600	G013
SRR3343601	G009
SRR3343602	G007
SRR3343603	G009
SRR3343604	G033
SRR3343605	G010
SRR3343606	G001
SRR3343607	G001
SRR3343608	G012
SRR3343609	G001
SRR3343610	G012
SRR3343612	G009
SRR3343613	G025
SRR3343614	G002
SRR3343615	G006
SRR3343616	G001
SRR3343617	G002
SRR3343618	G008
SRR3343619	G003
SRR3343620	G025
SRR3343621	G001
SRR3343622	G001
SRR3343623	G012
SRR3343625	G018
SRR3343627	G003
SRR3343628	G001
SRR3343629	G012
SRR3343630	G009
SRR3343631	G010
SRR3343632	G004
SRR3343633	G001
SRR3343635	G012
SRR3343636	G012
SRR3343638	G001
SRR3343639	G001
SRR3343640	G012
SRR3343641	G002
SRR3343642	G010
SRR3343643	G003
SRR3343644	G036
SRR3343646	G011
SRR3343647	G002
SRR3343648	G001
SRR3343649	G002
SRR3343651	G002
SRR3343653	G003
SRR3343654	G001
SRR3343655	G020
SRR3343656	G001
SRR3343657	G009
SRR3343659	G012
SRR3343660	G005
SRR3343661	G002
SRR3343662	G001
SRR3343663	G001
SRR3343664	G012
SRR3343665	G012
SRR3343666	G010
SRR3343669	G169
SRR3343670	G011
SRR3343671	G001
SRR3343672	G045
SRR3343673	G006
SRR3343674	G011
SRR3343675	G002
SRR3343676	G006
SRR3343678	G009
SRR3343679	G012
SRR3343680	G012
SRR3343681	G002
SRR3343682	G004
SRR3349137	G013
SRR3349138	G011
SRR3349139	G001
SRR3349140	G001
SRR3349141	G025
SRR3349142	G002
SRR3349143	G001
SRR3349145	G002
SRR3349146	G001
SRR3349147	G018
SRR3349148	G018
SRR3349149	G002
SRR3349150	G001
SRR3349151	G011
SRR3349152	G003
SRR3349153	G011
SRR3349154	G025
SRR3349165	G001
SRR3349166	G006
SRR3349167	G009
SRR3349168	G004
SRR3349169	G012
SRR3349170	G025
SRR3349171	G009
SRR3349172	G050
SRR3349173	G011
SRR3349174	G025
SRR3349175	G018
SRR3349176	G006
SRR3349177	G025
SRR3349178	G025
SRR3349179	G002
SRR3349180	G002
SRR3349181	G025
SRR3349182	G010
SRR3349183	G004
SRR3349184	G018
SRR3349185	G011
SRR3349186	G012
SRR3349187	G025
SRR3349188	G012
SRR3349189	G010
SRR3349190	G025
SRR3349191	G011
SRR3349192	G010
SRR3349193	G001
SRR3349194	G011
SRR3349195	G001
SRR3349196	G004
SRR3349197	G100
SRR3349198	G010
SRR3349199	G006
SRR3349200	G005
SRR3349201	G001
SRR3349202	G011
SRR3349203	G002
SRR3349204	G018
SRR3349205	G018
SRR3349206	G050
SRR3349207	G018
SRR3349208	G002
SRR3349209	G004
SRR3349210	G005
SRR3349211	G001
SRR3349212	G025
SRR3349213	G001
SRR3349214	G025
SRR3349215	G025
SRR3349216	G001
SRR3349217	G001
SRR3349218	G001
SRR3349219	G001
SRR3349220	G016
SRR3349221	G001
SRR3349222	G025
SRR3349223	G025
SRR3349224	G001
SRR3349225	G018
SRR3349226	G023
SRR3349227	G019
SRR3349228	G012
SRR3349229	G001
SRR3349230	G001
SRR3349231	G006
SRR3349232	G004
SRR3349233	G001
SRR3349234	G012
SRR3349235	G002
SRR3349236	G001
SRR3349237	G011
SRR3349238	G025
SRR3349239	G025
SRR3349240	G002
SRR3349241	G012
SRR3349242	G001
SRR3349243	G004
SRR3349244	G004
SRR3349245	G004
SRR3349246	G025
SRR3349247	G002
SRR3349248	G019
SRR3349249	G001
SRR3349250	G001
SRR3349251	G025
SRR3349252	G006
SRR3349253	G001
SRR3349254	G012
SRR3349255	G012
SRR3349256	G001
SRR3349257	G025
SRR3349258	G001
SRR3349259	G002
SRR3349260	G025
SRR3349261	G002
SRR3349262	G010
SRR3349263	G025
SRR3349264	G006
SRR3349265	G001
SRR3349266	G002
SRR3349267	G025
SRR3349268	G002
SRR3349269	G010
SRR3349270	G039
SRR3349271	G012
SRR3349272	G002
SRR3349273	G001
SRR3349274	G001
SRR3349275	G004
SRR3349276	G010
SRR3349277	G016
SRR3349278	G010
SRR3349279	G025
SRR3349280	G002
SRR3349281	G025
SRR3349282	G001
SRR3349283	G010
SRR3349284	G001
SRR3349285	G025
SRR3349286	G001
SRR3349287	G025
SRR3349288	G001
SRR3349289	G050
SRR3349290	G004
SRR3349291	G011
SRR3349292	G025
SRR3349293	G002
SRR3349294	G006
SRR3349295	G025
SRR3349296	G001
SRR3349297	G002
SRR3349298	G001
SRR3349299	G010
SRR3349300	G025
SRR3349301	G011
SRR3349302	G011
SRR3349303	G002
SRR3349304	G002
SRR3349305	G018
SRR3349306	G012
SRR3349307	G002
SRR3349308	G001
SRR3349309	G009
SRR3349310	G004
SRR3349311	G012
SRR3349312	G025
SRR3349313	G025
SRR3349314	G001
SRR3349315	G002
SRR3349316	G001
SRR3349317	G001
SRR3349318	G001
SRR3349319	G004
SRR3349320	G039
SRR3349321	G001
SRR3349322	G002
SRR3349323	G001
SRR3349324	G001
SRR3349325	G018
SRR3349326	G002
SRR3349327	G001
SRR3349328	G002
SRR3349329	G001
SRR3349330	G004
SRR3349331	G025
SRR3349332	G001
SRR3349333	G002
SRR3349335	G003
SRR3349336	G025
SRR3349337	G001
SRR3349338	G010
SRR3349339	G010
SRR3349340	G025
SRR3349341	G012
SRR3349342	G001
SRR3349343	G048
SRR3349344	G010
SRR3349345	G010
SRR3349346	G001
SRR3349347	G025
SRR3349514	G006
SRR3349515	G009
SRR3349516	G002
SRR3349517	G019
SRR3349518	G009
SRR3349520	G025
SRR3349521	G001
SRR3349522	G004
SRR3349523	G014
SRR3349524	G014
SRR3349525	G043
SRR3349526	G001
SRR3349527	G027
SRR3349528	G001
SRR3349529	G012
SRR3349531	G002
SRR3349532	G025
SRR3349533	G019
SRR3349534	G004
SRR3349535	G012
SRR3349536	G002
SRR3349537	G004
SRR3349538	G002
SRR3349539	G011
SRR3349540	G093
SRR3349542	G002
SRR3349543	G009
SRR3349544	G003
SRR3349545	G002
SRR3349546	G044
SRR3349547	G012
SRR3349548	G009
SRR3349549	G001
SRR3349550	G006
SRR3349551	G019
SRR3349552	G002
SRR3349553	G001
SRR3349554	G001
SRR3349555	G003
SRR3349557	G001
SRR3349558	G010
SRR3349559	G004
SRR3349560	G014
SRR3349561	G006
SRR3349562	G025
SRR3349563	G016
SRR3349564	G009
SRR3349565	G019
SRR3349566	G009
SRR3349567	G010
SRR3349568	G044
SRR3349569	G001
SRR3349570	G002
SRR3349572	G014
SRR3349573	G002
SRR3349574	G006
SRR3349575	G040
SRR3349577	G011
SRR3349578	G007
SRR3349579	G006
SRR3349580	G012
SRR3349581	G009
SRR3349582	G006
SRR3349583	G009
SRR3349584	G007
SRR3349585	G001
SRR3349587	G004
SRR3349588	G002
SRR3349589	G009
SRR3349590	G009
SRR3349591	G080
SRR3349592	G011
SRR3349593	G014
SRR3349594	G001
SRR3349596	G025
SRR3349597	G010
SRR3349598	G021
SRR3349599	G004
SRR3349601	G004
SRR3349602	G012
SRR3349603	G043
SRR3349604	G021
SRR3349606	G002
SRR3349607	G002
SRR3349608	G009
SRR3349610	G006
SRR3349611	G006
SRR3349612	G005
SRR3349613	G018
SRR3349614	G001
SRR3349615	G013
SRR3349617	G002
SRR3349618	G004
SRR3349619	G004
SRR3349620	G025
SRR3349621	G001
SRR3349622	G009
SRR3349623	G004
SRR3349624	G004
SRR3349625	G010
SRR3349626	G009
SRR3349627	G001
SRR3349628	G004
SRR3349630	G001
SRR3349631	G009
SRR3349632	G002
SRR3349633	G023
SRR3349634	G001
SRR3349635	G006
SRR3349636	G001
SRR3349637	G012
SRR3349638	G039
SRR3349639	G019
SRR3349640	G003
SRR3349642	G001
SRR3349643	G009
SRR3349644	G010
SRR3349645	G039
SRR3349646	G039
SRR3349647	G006
SRR3349648	G009
SRR3349649	G001
SRR3349650	G009
SRR3349652	G003
SRR3349653	G001
SRR3349654	G002
SRR3349655	G019
SRR3349656	G019
SRR3349657	G009
SRR3349658	G001
SRR3349659	G001
SRR3349661	G025
SRR3349662	G014
SRR3349663	G002
SRR3349664	G019
SRR3349665	G006
SRR3349666	G002
SRR3349667	G019
SRR3349669	G004
SRR3349670	G043
SRR3349671	G010
SRR3349672	G009
SRR3349673	G004
SRR3349674	G001
SRR3349675	G011
SRR3349676	G019
SRR3349677	G043
SRR3349679	G001
SRR3349680	G001
SRR3349681	G013
SRR3349682	G010
SRR3349683	G003
SRR3349684	G002
SRR3349685	G002
SRR3349686	G021
SRR3349687	G001
SRR3349688	G002
SRR3349689	G039
SRR3349691	G044
SRR3349692	G001
SRR3349693	G004
SRR3349694	G001
SRR3349695	G002
SRR3349696	G080
SRR3349697	G009
SRR3349698	G001
SRR3349699	G009
SRR3349700	G006
SRR3349701	G001
SRR3349702	G040
SRR3349703	G001
SRR3349704	G009
SRR3349705	G014
SRR3349706	G009
SRR3349707	G009
SRR3349708	G019
SRR3349709	G007
SRR3349710	G006
SRR3349711	G043
SRR3349712	G001
SRR3349713	G001
SRR3349714	G009
SRR3349715	G001
SRR3349716	G108
SRR3349717	G009
SRR3349718	G001
SRR3349719	G039
SRR3349720	G009
SRR3349721	G023
SRR3349722	G007
SRR3349723	G007
SRR3349724	G018
SRR3349725	G001
SRR3349726	G010
SRR3349727	G009
SRR3349728	G001
SRR3349729	G006
SRR3349811	G004
SRR3349812	G020
SRR3349813	G025
SRR3349814	G001
SRR3349815	G001
SRR3349816	G001
SRR3349817	G003
SRR3349818	G005
SRR3349819	G024
SRR3349820	G005
SRR3349821	G020
SRR3349822	G008
SRR3349823	G001
SRR3349824	G002
SRR3349825	G001
SRR3349826	G002
SRR3349827	G001
SRR3349828	G001
SRR3349829	G054
SRR3349830	G001
SRR3349831	G004
SRR3349832	G005
SRR3349833	G002
SRR3349834	G001
SRR3349835	G002
SRR3349836	G002
SRR3349837	G001
SRR3349838	G003
SRR3349839	G001
SRR3349840	G012
SRR3349841	G001
SRR3349842	G002
SRR3349843	G004
SRR3349844	G001
SRR3349845	G054
SRR3349846	G001
SRR3349847	G001
SRR3349848	G005
SRR3349849	G001
SRR3349851	G001
SRR3349852	G001
SRR3349853	G005
SRR3349854	G024
SRR3349855	G004
SRR3349856	G012
SRR3349857	G018
SRR3349858	G001
SRR3349859	G001
SRR3349860	G004
SRR3349861	G018
SRR3349862	G020
SRR3349863	G001
SRR3349864	G001
SRR3349865	G002
SRR3349866	G001
SRR3349867	G005
SRR3349868	G005
SRR3349869	G054
SRR3349870	G001
SRR3349871	G004
SRR3349872	G161
SRR3349873	G001
SRR3349874	G054
SRR3349875	G001
SRR3349877	G002
SRR3349878	G008
SRR3349879	G004
SRR3349880	G008
SRR3349881	G006
SRR3349882	G002
SRR3349883	G004
SRR3349884	G005
SRR3349885	G011
SRR3349886	G004
SRR3349887	G004
SRR3349888	G001
SRR3349889	G001
SRR3349890	G008
SRR3349891	G002
SRR3349892	G017
SRR3349893	G017
SRR3349894	G020
SRR3349895	G001
SRR3349896	G001
SRR3349898	G004
SRR3349899	G033
SRR3349900	G001
SRR3349901	G004
SRR3349902	G002
SRR3349903	G003
SRR3349904	G004
SRR3349905	G004
SRR3349906	G001
SRR3349907	G013
SRR3349908	G002
SRR3349909	G001
SRR3349910	G001
SRR3349911	G002
SRR3349912	G012
SRR3349913	G020
SRR3349914	G002
SRR3349915	G001
SRR3349916	G171
SRR3349917	G001
SRR3349919	G135
SRR3349920	G020
SRR3349921	G001
SRR3349922	G001
SRR3349923	G001
SRR3349924	G002
SRR3349925	G003
SRR3349926	G002
SRR3349927	G002
SRR3349928	G011
SRR3349929	G002
SRR3349930	G004
SRR3349931	G001
SRR3349932	G005
SRR3349933	G002
SRR3349934	G005
SRR3349935	G001
SRR3349936	G001
SRR3349937	G005
SRR3349938	G003
SRR3349939	G003
SRR3349940	G020
SRR3349941	G002
SRR3349942	G002
SRR3349943	G001
SRR3349944	G002
SRR3349945	G001
SRR3349946	G005
SRR3349947	G054
SRR3349948	G001
SRR3349949	G003
SRR3349950	G004
SRR3349951	G001
SRR3349952	G002
SRR3349953	G003
SRR3349954	G001
SRR3349955	G054
SRR3349956	G011
SRR3349957	G001
SRR3349958	G001
SRR3349959	G001
SRR3349960	G001
SRR3349961	G010
SRR3349962	G159
SRR3349963	G003
SRR3349964	G003
SRR3349965	G002
SRR3349966	G002
SRR3349967	G010
SRR3349968	G001
SRR3349969	G002
SRR3349970	G004
SRR3349971	G002
SRR3349972	G005
SRR3349973	G001
SRR3349974	G001
SRR3349975	G003
SRR3349976	G002
SRR3349977	G005
SRR3349978	G003
SRR3349979	G012
SRR3349980	G003
SRR3349981	G002
SRR3349982	G001
SRR3349983	G002
SRR3349984	G001
SRR3349985	G001
SRR3349986	G001
SRR3349987	G001
SRR3349988	G018
SRR3349989	G004
SRR3349990	G003
SRR3349991	G039
SRR3349992	G002
SRR3349993	G020
SRR3349994	G001
SRR3349995	G001
SRR3349996	G002
SRR3349997	G006
SRR3349998	G001
SRR3349999	G001
SRR3350000	G001
SRR3350001	G003
SRR3350002	G001
SRR3350003	G001
SRR3350004	G001
SRR3350005	G017
SRR3350006	G001
SRR3350007	G005
SRR3350008	G001
SRR3350009	G025
SRR3350010	G003
SRR3350011	G003
SRR3350084	G031
SRR3350085	G006
SRR3350086	G010
SRR3350087	G027
SRR3350088	G001
SRR3350089	G001
SRR3350090	G020
SRR3350091	G001
SRR3350092	G010
SRR3350093	G014
SRR3350094	G001
SRR3350095	G001
SRR3350096	G010
SRR3350097	G003
SRR3350098	G014
SRR3350099	G010
SRR3350100	G012
SRR3350101	G031
SRR3350102	G010
SRR3350103	G010
SRR3350104	G010
SRR3350105	G001
SRR3350106	G014
SRR3350107	G001
SRR3350108	G012
SRR3350109	G009
SRR3350110	G010
SRR3350111	G003
SRR3350112	G043
SRR3350113	G001
SRR3350114	G001
SRR3350115	G001
SRR3350116	G010
SRR3350117	G001
SRR3350118	G023
SRR3350119	G004
SRR3350120	G006
SRR3350121	G001
SRR3350122	G003
SRR3350123	G009
SRR3350124	G001
SRR3350125	G010
SRR3350126	G006
SRR3350127	G001
SRR3350128	G002
SRR3350129	G010
SRR3350130	G130
SRR3350131	G001
SRR3350132	G031
SRR3350133	G001
SRR3350134	G009
SRR3350135	G001
SRR3350136	G003
SRR3350137	G010
SRR3350138	G018
SRR3350139	G012
SRR3350140	G001
SRR3350141	G011
SRR3350142	G023
SRR3350143	G001
SRR3350144	G009
SRR3350145	G004
SRR3350146	G020
SRR3350147	G001
SRR3350148	G002
SRR3350149	G001
SRR3350150	G010
SRR3350151	G001
SRR3350152	G010
SRR3350153	G002
SRR3350154	G004
SRR3350156	G012
SRR3350157	G012
SRR3350158	G002
SRR3350159	G001
SRR3350160	G001
SRR3350161	G010
SRR3350162	G001
SRR3350163	G001
SRR3350164	G071
SRR3350165	G001
SRR3350166	G014
SRR3350167	G001
SRR3350168	G001
SRR3350169	G011
SRR3350170	G010
SRR3350171	G009
SRR3350172	G001
SRR3350173	G001
SRR3350174	G039
SRR3350175	G005
SRR3350176	G001
SRR3350177	G004
SRR3350178	G004
SRR3350179	G001
SRR3350180	G109
SRR3350181	G001
SRR3350182	G010
SRR3350183	G009
SRR3350184	G001
SRR3350185	G012
SRR3350186	G043
SRR3350187	G003
SRR3350188	G037
SRR3350189	G004
SRR3350190	G010
SRR3350191	G012
SRR3350192	G009
SRR3350193	G001
SRR3350194	G004
SRR3350195	G003
SRR3350196	G001
SRR3350197	G012
SRR3350198	G012
SRR3350199	G006
SRR3350200	G014
SRR3350201	G010
SRR3350203	G014
SRR3350204	G001
SRR3350205	G010
SRR3350206	G031
SRR3350207	G130
SRR3350208	G010
SRR3350209	G010
SRR3350210	G001
SRR3350211	G010
SRR3350212	G009
SRR3350213	G003
SRR3350214	G020
SRR3350215	G001
SRR3350216	G010
SRR3350217	G001
SRR3350218	G025
SRR3350219	G004
SRR3350220	G002
SRR3350221	G130
SRR3350222	G001
SRR3350223	G010
SRR3350224	G031
SRR3350225	G020
SRR3350226	G010
SRR3350227	G010
SRR3350228	G039
SRR3350229	G010
SRR3350230	G001
SRR3350231	G010
SRR3350232	G001
SRR3350233	G014
SRR3350234	G010
