sequence	MST-78x1.0
ECDC_FR13_112	G001
ECDC_FR13_113	G009
ECDC_GE13_056	G125
ECDC_GE13_057	G002
ECDC_GE13_058	G002
ECDC_GE13_059	G002
ECDC_GE13_062	G002
ECDC_GE13_063	G015
ECDC_GE13_064	G002
ECDC_GE13_065	G001
ECDC_GE13_066	G002
ECDC_GE13_067	G002
ECDC_GE13_068	G126
ECDC_GE13_071	G001
ECDC_GE13_072	G001
ECDC_GE13_073	G002
ECDC_GE13_074	G002
ECDC_GE13_075	G002
ECDC_GE13_076	G004
ECDC_GE13_077	G002
ECDC_GE13_078	G008
ECDC_GE13_079	G009
ECDC_GE13_080	G009
ECDC_GE13_081	G001
ECDC_GE13_082	G013
ECDC_GE13_083	G013
ECDC_GE13_084	G001
ECDC_GE13_085	G002
ECDC_GE13_086	G001
ECDC_GE13_087	G001
ECDC_GE13_088	G014
ECDC_GE13_089	G001
ECDC_GE13_090	G015
ECDC_GE13_092	G009
ECDC_GE13_093	G003
ECDC_GE13_094	G055
ECDC_GE13_095	G003
ECDC_GE13_096	G009
ECDC_GE13_098	G035
ECDC_GE13_099	G022
ECDC_GE13_100	G001
ECDC_GE13_102	G015
ECDC_GE13_104	G001
ECDC_GE13_105	G008
ECDC_GE13_106	G001
ECDC_GE13_107	G021
ECDC_GE13_108	G021
ECDC_GE13_109	G001
ECDC_GE13_111	G021
ECDC_GR13026	G046
ECDC_GR13027	G002
ECDC_GR13028	G002
ECDC_GR13029	G005
ECDC_GR13030	G005
ECDC_GR13031	G005
ECDC_GR13032	G002
ECDC_GR13033	G002
ECDC_GR13034	G046
ECDC_GR13035	G002
ECDC_GR13036	G002
ECDC_GR13037	G004
ECDC_GR13038	G023
ECDC_GR13039	G046
ECDC_GR13040	G005
ECDC_GR13041	G002
ECDC_GR13043	G002
ECDC_GR13044	G002
ECDC_GR13045	G002
ECDC_GR13046	G002
ECDC_GR13047	G023
ECDC_GR13048	G002
ECDC_GR13049	G005
ECDC_GR13050	G005
ECDC_GR13051	G002
ECDC_GR13052	G046
ECDC_GR13053	G002
ECDC_GR13054	G008
ECDC_GR13055	G005
ECDC_GR13056	G175
ECDC_GR13057	G006
ECDC_GR13058	G001
ECDC_GR13059	G023
ECDC_GR13060	G012
ECDC_GR13061	G005
ECDC_GR13062	G010
ECDC_GR13064	G006
ECDC_GR13065	G012
ECDC_GR13066	G046
ECDC_GR13067	G006
ECDC_GR13068	G005
ECDC_GR13069	G141
ECDC_GR13070	G011
ECDC_GR13071	G023
ECDC_GR13072	G002
ECDC_GR13073	G005
ECDC_GR13074	G010
ECDC_GR13075	G010
ECDC_HU13_044	G002
ECDC_HU13_047	G008
ECDC_HU13_048	G015
ECDC_HU13_049	G002
ECDC_HU13_050	G008
ECDC_HU13_052	G001
ECDC_HU13_053	G001
ECDC_HU13_055	G002
ECDC_HU13_056	G064
ECDC_HU13_057	G002
ECDC_HU13_058	G002
ECDC_HU13_059	G005
ECDC_HU13_060	G002
ECDC_HU13_061	G015
ECDC_HU13_062	G015
ECDC_HU13_063	G002
ECDC_HU13_064	G001
ECDC_HU13_065	G002
ECDC_HU13_066	G001
ECDC_HU13_067	G002
ECDC_HU13_068	G001
ECDC_HU13_069	G002
ECDC_HU13_070	G005
ECDC_HU13_071	G064
ECDC_HU13_072	G064
ECDC_HU13_073	G002
ECDC_HU13_076	G009
ECDC_HU13_077	G001
ECDC_HU13_078	G015
ECDC_HU13_079	G008
ECDC_HU13_080	G004
ECDC_HU13_082	G005
ECDC_HU13_083	G002
ECDC_HU13_084	G002
ECDC_HU13_086	G002
ECDC_HU13_087	G004
ECDC_HU13_088	G020
ECDC_HU13_089	G002
ECDC_HU13_090	G002
ECDC_HU13_091	G002
ECDC_HU13_092	G002
ECDC_HU13_093	G005
ECDC_HU13_094	G004
ECDC_HU13_095	G001
ECDC_HU13_096	G002
ECDC_HU13_097	G009
ECDC_HU13_098	G002
ECDC_1807138	G004
ECDC_1820983	G006
ECDC_1820984	G071
ECDC_1830458	G021
ECDC_1836157	G001
NGSJH1	G002
NGSJH10	G001
NGSJH11	G001
NGSJH12	G004
NGSJH13	G010
NGSJH14	G001
NGSJH16	G106
NGSJH17	G004
NGSJH19	G179
NGSJH2	G013
NGSJH4	G001
NGSJH7	G001
NGSJH8	G006
NGSJH9	G002
NGRL_166587	G001
NGRL_168628	G027
NGRL_176561	G002
NGRL_177574	G027
NGRL_178487	G001
NGRL_178526	G002
NGRL_178575	G001
NGRL_179411	G001
NGRL_179501	G002
NGRL_180505	G001
NGRL_181798	G001
NGRL_190440	G008
NGRL_191262	G002
NGRL_191587	G001
NGRL_193058	G004
NGRL_193852	G001
NGRL_194698	G002
NGRL_196712	G001
NGRL_197747	G004
NGRL_199856	G001
NGRL_286088	G002
NGRL_41277	G001
NGRL_420132	G117
NGRL_422102	G002
NGRL_422322	G014
NGRL_422671	G002
NGRL_425204	G020
NGRL_425657	G004
NGRL_501373	G002
NGRL_67818	G004
NGRL_68931	G002
NGRL_71324	G008
NGRL_76972	G002
NGRL_81513	G002
NGRL_82432	G122
NGRL_86606	G001
NGRL_UHW16	G002
NGRL_UHW24	G002
NGRL_UHW35	G002
NGRL_UHW39	G160
NGRL_UHW6	G001
NGRL_UHW8	G014
NGRL_UHW9	G002
ECDC_IT2908	G082
ECDC_IT2914	G002
ECDC_IT2916	G002
ECDC_IT2920	G008
ECDC_IT2921	G004
ECDC_IT2922	G008
ECDC_IT2923	G004
ECDC_IT2924	G014
ECDC_IT2925	G004
ECDC_IT2926	G001
ECDC_IT2927	G015
ECDC_IT2929	G082
ECDC_IT2930	G082
ECDC_IT2931	G001
ECDC_IT2933	G001
ECDC_IT2934	G001
ECDC_IT2935	G001
ECDC_IT2936	G014
ECDC_IT2937	G002
ECDC_IT2938	G001
ECDC_IT2939	G004
ECDC_IT2940	G014
ECDC_IT2941	G004
ECDC_IT2943	G001
ECDC_IT2944	G005
ECDC_IT2945	G004
ECDC_IT2951	G004
ECDC_IT2952	G002
ECDC_IT2953	G014
ECDC_IT2954	G004
ECDC_IT2955	G001
ECDC_IT2956	G002
ECDC_IT2957	G004
ECDC_IT2958	G014
ECDC_IT2959	G004
ECDC_IT2960	G002
ECDC_IT2961	G008
ECDC_IT2962	G002
ECDC_IT2964	G004
ECDC_IT2965	G004
ECDC_IT2967	G002
ECDC_IT2968	G002
ECDC_IT2969	G014
ECDC_IT2970	G002
ECDC_IT2972	G001
ECDC_IT2974	G001
ECDC_IT2975	G006
ECDC_IT2979	G004
ECDC_IT2980	G001
ECDC_LV13_001	G006
ECDC_LV13_003	G170
ECDC_LV13_004	G006
ECDC_LV13_005	G006
ECDC_LV13_006	G022
ECDC_LV13_007	G006
ECDC_LV13_008	G006
ECDC_LV13_009	G006
ECDC_LV13_010	G006
ECDC_LV13_011	G006
ECDC_LV13_012	G170
ECDC_LV13_013	G002
ECDC_LV13_014	G002
ECDC_LV13_015	G170
ECDC_LV13_016	G006
ECDC_LV13_017	G002
ECDC_LV13_018	G006
ECDC_LV13_019	G002
ECDC_LV13_020	G006
ECDC_LV13_021	G006
ECDC_LV13_022	G001
ECDC_LV13_023	G058
ECDC_LV13_024	G170
ECDC_LV13_025	G024
ECDC_LV13_026	G001
ECDC_LV13_027	G001
ECDC_LV13_028	G170
ECDC_LV13_029	G006
ECDC_LV13_030	G002
ECDC_LV13_031	G006
ECDC_LV13_032	G006
ECDC_LV13_033	G058
ECDC_LV13_034	G006
ECDC_LV13_035	G022
ECDC_LV13_036	G022
ECDC_LV13_037	G006
ECDC_LV13_038	G022
ECDC_LV13_039	G006
ECDC_MT13_001	G001
ECDC_MT13_002	G173
ECDC_MT13_003	G002
ECDC_MT13_008	G040
ECDC_MT13_009	G001
ECDC_MT13_010	G173
ECDC_MT13_012	G001
ECDC_MT13_013	G001
ECDC_MT13_015	G001
ECDC_MT13_016	G059
ECDC_MT13_017	G002
ECDC_MT13_019	G002
ECDC_MT13_020	G002
ECDC_MT13_021	G001
ECDC_MT13_022	G001
ECDC_MT13_025	G001
ECDC_MT13_026	G059
ECDC_MT13_028	G001
ECDC_MT13_030	G001
ECDC_MT13_031	G001
ECDC_NL1	G006
ECDC_NL10	G056
ECDC_NL13	G004
ECDC_NL14	G001
ECDC_NL15	G004
ECDC_NL16	G001
ECDC_NL17	G002
ECDC_NL18	G009
ECDC_NL2	G001
ECDC_NL20	G002
ECDC_NL21	G004
ECDC_NL22	G001
ECDC_NL23	G006
ECDC_NL24	G024
ECDC_NL25	G061
ECDC_NL26	G010
ECDC_NL27	G001
ECDC_NL28	G001
ECDC_NL29	G001
ECDC_NL3	G001
ECDC_NL30	G010
ECDC_NL31	G001
ECDC_NL32	G004
ECDC_NL33	G006
ECDC_NL35	G014
ECDC_NL36	G009
ECDC_NL37	G014
ECDC_NL38	G017
ECDC_NL39	G006
ECDC_NL4	G004
ECDC_NL41	G011
ECDC_NL42	G015
ECDC_NL43	G001
ECDC_NL44	G030
ECDC_NL45	G010
ECDC_NL47	G006
ECDC_NL49	G021
ECDC_NL5	G006
ECDC_NL54	G004
ECDC_NL57	G030
ECDC_NL6	G003
ECDC_NL60	G003
ECDC_NL62	G002
ECDC_NL63	G002
ECDC_NL65	G003
ECDC_NL68	G011
ECDC_NL69	G003
ECDC_NL7	G004
ECDC_NL70	G048
ECDC_NL71	G006
ECDC_NL72	G001
ECDC_NL74	G004
ECDC_NL75	G004
ECDC_NL78	G174
ECDC_NL79	G004
ECDC_NL8	G009
ECDC_NL81	G004
ECDC_NL82	G001
ECDC_NL84	G011
ECDC_NL85	G004
ECDC_NL86	G010
ECDC_NL87	G039
ECDC_NL89	G001
ECDC_NL9	G014
Netherlands-104	G001
Netherlands-116	G030
Netherlands-136	G010
Netherlands-158	G002
Netherlands-191	G001
Netherlands-205	G005
Netherlands-219	G005
Netherlands-227	G013
Netherlands-28	G001
Netherlands-29	G001
Netherlands-3	G006
Netherlands-354	G001
Netherlands-397	G010
Netherlands-400	G162
Netherlands-416	G001
Netherlands-502	G001
Netherlands-52	G004
Netherlands-69	G001
Netherlands-95	G001
ECDC_GC_058	G002
ECDC_GC_059	G002
ECDC_GC_060	G001
ECDC_GC_061	G009
ECDC_GC_062	G002
ECDC_GC_063	G002
ECDC_GC_064	G002
ECDC_GC_065	G014
ECDC_GC_066	G004
ECDC_GC_067	G001
ECDC_GC_068	G009
ECDC_GC_069	G004
ECDC_GC_070	G151
ECDC_GC_071	G004
ECDC_GC_072	G004
ECDC_GC_073	G081
ECDC_GC_074	G114
ECDC_GC_075	G002
ECDC_GC_076	G001
ECDC_GC_077	G004
ECDC_GC_078	G009
ECDC_GC_079	G001
ECDC_GC_080	G001
ECDC_GC_081	G014
ECDC_GC_082	G081
ECDC_GC_083	G075
ECDC_GC_084	G057
ECDC_GC_085	G002
ECDC_GC_086	G163
ECDC_GC_087	G119
ECDC_GC_088	G096
ECDC_GC_089	G002
ECDC_GC_090	G035
ECDC_GC_091	G001
ECDC_GC_092	G005
ECDC_GC_093	G004
ECDC_GC_094	G060
ECDC_GC_095	G018
ECDC_GC_096	G002
ECDC_GC_097	G008
ECDC_GC_098	G022
ECDC_GC_099	G009
ECDC_GC_100	G002
ECDC_GC_101	G057
ECDC_GC_102	G005
ECDC_GC_103	G008
ECDC_GC_104	G050
ECDC_GC_105	G005
ECDC_GC_106	G111
ECDC_GC_107	G039
ECDC_GC_108	G013
ECDC_GC_109	G004
ECDC_GC_110	G005
ECDC_GC_111	G002
ECDC_GC_112	G002
NGPT03001	G033
NGPT03002	G026
NGPT03003	G062
NGPT03004	G018
NGPT03005	G018
NGPT03006	G062
NGPT03007	G026
NGPT03008	G012
NGPT03009	G026
NGPT03010	G001
NGPT03011	G012
NGPT03013	G013
NGPT03014	G166
NGPT03015	G078
NGPT03016	G078
NGPT03017	G076
NGPT04001	G026
NGPT04002	G034
NGPT04003	G026
NGPT04004	G013
NGPT04005	G072
NGPT04007	G032
NGPT04009	G012
NGPT04010	G051
NGPT04011	G051
NGPT04012	G012
NGPT04013	G033
NGPT04014	G034
NGPT04015	G012
NGPT04016	G062
NGPT04017	G026
NGPT05002	G005
NGPT05005	G074
NGPT05006	G145
NGPT05007	G001
NGPT05008	G001
NGPT05009	G010
NGPT05010	G051
NGPT05012	G018
NGPT05013	G005
NGPT05014	G013
NGPT05015	G005
NGPT05018	G019
NGPT05019	G010
NGPT05020	G013
NGPT05021	G005
NGPT05022	G005
NGPT05023	G013
NGPT05024	G145
NGPT05025	G013
NGPT05026	G010
NGPT06001	G026
NGPT06003	G005
NGPT06004	G012
NGPT06005	G013
NGPT06006	G006
NGPT06007	G010
NGPT06008	G012
NGPT06009	G074
NGPT06010	G005
NGPT06011	G006
NGPT06013	G005
NGPT06014	G013
NGPT06015	G005
NGPT06016	G065
NGPT06017	G012
NGPT06018	G012
NGPT06019	G012
NGPT06020	G005
NGPT06021	G005
NGPT06022	G005
NGPT06023	G013
NGPT06024	G005
NGPT06025	G013
NGPT06026	G013
NGPT06027	G002
NGPT06028	G001
NGPT07001	G005
NGPT07002	G005
NGPT07003	G002
NGPT07013	G005
NGPT07015	G090
NGPT07016	G005
NGPT07018	G005
NGPT07019	G005
NGPT07020	G005
NGPT07021	G006
NGPT07024	G002
NGPT07025	G006
NGPT07030	G006
NGPT07034	G013
NGPT07036	G001
NGPT07041	G005
NGPT07042	G013
NGPT07044	G005
NGPT07046	G005
NGPT07050	G005
NGPT07054	G005
NGPT07059	G006
NGPT07060	G006
NGPT07062	G005
NGPT07065	G005
NGPT07066	G005
NGPT07068	G005
NGPT07069	G002
NGPT07072	G005
NGPT07075	G005
NGPT07076	G002
NGPT07077	G012
NGPT07078	G005
NGPT08007	G010
NGPT08008	G012
NGPT08009	G006
NGPT08011	G002
NGPT08013	G019
NGPT08014	G013
NGPT08015	G019
NGPT08017	G002
NGPT08020	G069
NGPT08023	G005
NGPT08024	G072
NGPT08026	G002
NGPT08028	G013
NGPT08032	G001
