sequence	root_dist-25x1.0	root_dist-26x1.0	root_dist-27x1.0	root_dist-28x1.0	root_dist-29x1.0	root_dist-30x1.0	root_dist-31x1.0	root_dist-32x1.0	root_dist-33x1.0	root_dist-34x1.0	root_dist-35x1.0	root_dist-36x1.0	root_dist-37x1.0	root_dist-38x1.0	root_dist-39x1.0	root_dist-40x1.0	root_dist-41x1.0	root_dist-42x1.0	root_dist-43x1.0	root_dist-44x1.0	root_dist-45x1.0	root_dist-46x1.0	root_dist-47x1.0	root_dist-48x1.0	root_dist-49x1.0	root_dist-50x1.0	root_dist-51x1.0	root_dist-52x1.0	root_dist-53x1.0	root_dist-54x1.0	root_dist-55x1.0	root_dist-56x1.0	root_dist-57x1.0	root_dist-58x1.0	root_dist-59x1.0	root_dist-60x1.0	root_dist-61x1.0	root_dist-62x1.0	root_dist-63x1.0	root_dist-64x1.0	root_dist-65x1.0	root_dist-66x1.0	root_dist-67x1.0	root_dist-68x1.0	root_dist-69x1.0	avg_clade-1x1.0	max_clade-2x1.0
Portugal/PT20586/2021	1	1	1	1	1	1	1	1	8	21	80	155	179	204	218	220	238	singleton	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	567	784
Portugal/PT22598/2021	1	1	1	1	1	1	1	1	8	21	79	153	177	202	216	218	236	265	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	477	670
Portugal/PT22073/2021	1	1	1	1	1	1	1	1	8	21	79	153	177	202	216	218	236	265	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	477	670
Portugal/PT22070/2021	1	1	1	1	1	1	1	1	8	21	79	153	177	202	216	218	236	264	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	477	671
Portugal/PT22056/2021	1	1	1	1	1	1	1	1	8	21	79	153	177	202	216	218	236	264	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	477	671
Portugal/PT22746/2021	1	1	1	1	1	1	1	1	8	21	79	153	177	202	216	218	236	264	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	477	671
Portugal/PT22730/2021	1	1	1	1	1	1	1	1	8	21	78	152	176	201	215	217	235	263	268	233	196	166	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	547	786
Portugal/PT23319/2021	1	1	1	1	1	1	1	1	8	21	78	152	176	201	215	217	235	263	268	233	196	166	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	547	786
Portugal/PT23318/2021	1	1	1	1	1	1	1	1	8	21	78	152	176	201	215	217	235	263	268	233	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	547	786
Portugal/PT22731/2021	1	1	1	1	1	1	1	1	8	21	78	152	176	201	215	217	235	263	268	233	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	547	786
Portugal/PT20357/2021	1	1	1	1	1	1	1	1	8	21	77	150	174	199	213	215	233	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	607	863
Portugal/PT20358/2021	1	1	1	1	1	1	1	1	8	21	77	150	174	199	213	215	233	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	607	863
Portugal/PT24044/2021	1	1	1	1	1	1	1	1	8	21	76	148	172	196	210	212	230	260	264	230	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	608	864
Portugal/PT24041/2021	1	1	1	1	1	1	1	1	8	21	76	148	172	196	210	212	230	260	264	230	singleton	singleton	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	608	864
Portugal/PT23263/2021	1	1	1	1	1	1	1	1	8	21	76	148	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	609	singleton
Portugal/PT23226/2021	1	1	1	1	1	1	1	1	8	21	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT23370/2021	1	1	1	1	1	1	1	1	8	21	63	121	143	165	167	168	179	204	201	179	158	137	109	90	90	62	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	611	371
Portugal/PT20894/2021	1	1	1	1	1	1	1	1	8	21	62	110	127	145	148	151	160	185	181	156	131	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	570	360
Portugal/PT21126/2021	1	1	1	1	1	1	1	1	8	21	62	108	125	143	146	150	159	singleton	singleton	singleton	singleton	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	613	singleton
Portugal/PT24751/2021	1	1	1	1	1	1	1	1	8	21	62	108	125	143	146	150	159	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	613	singleton
Portugal/PT20561/2021	1	1	1	1	1	1	1	1	8	21	62	108	125	142	145	149	158	184	180	155	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	614	359
Portugal/PT20815/2021	1	1	1	1	1	1	1	1	8	21	62	108	125	142	145	149	158	184	180	155	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	614	359
Portugal/PT20841/2021	1	1	1	1	1	1	1	1	8	21	62	107	124	141	144	148	157	183	179	154	130	111	89	75	75	51	59	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	572	358
Portugal/PT20842/2021	1	1	1	1	1	1	1	1	8	21	62	107	124	141	144	148	157	183	179	154	130	111	89	75	75	51	59	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	572	358
Portugal/PT21310/2021	1	1	1	1	1	1	1	1	8	21	61	104	122	139	142	145	268	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	396	357
Portugal/PT20813/2021	1	1	1	1	1	1	1	1	8	21	61	104	122	139	142	145	268	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	396	357
Portugal/PT21089/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	136	139	150	176	172	148	125	108	86	72	73	49	57	38	31	singleton	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	615	singleton
Portugal/PT21966/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	138	149	175	171	147	124	107	85	71	72	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	328	448
Portugal/PT21965/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	138	149	175	171	147	124	107	85	71	72	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	328	448
Portugal/PT20924/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	71	47	56	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	575	768
Portugal/PT23132/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	71	46	singleton	singleton	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	577	856
Portugal/PT23167/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	71	46	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	577	856
Portugal/PT21677/2021	1	1	1	1	1	1	1	1	8	20	56	98	116	133	135	137	148	174	170	146	123	104	82	69	70	45	55	singleton	singleton	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
