partition	cluster	cluster_length	samples	lineage	clade_membership	first_seq_date	last_seq_date	timespan_days	n_Health_region	Health_region	S1_mutations
root_dist-41x1.0	107	19	Portugal/PT20196/2021,Portugal/PT21551/2021,Portugal/PT22641/2021,Portugal/PT22101/2021,Portugal/PT22099/2021,Portugal/PT22103/2021,Portugal/PT22110/2021,Portugal/PT22104/2021,Portugal/PT22102/2021,Portugal/PT21181/2021,Portugal/PT21135/2021,Portugal/PT21137/2021,Portugal/PT20488/2021,Portugal/PT21184/2021,Portugal/PT21182/2021,Portugal/PT21412/2021,Portugal/PT21304/2021,Portugal/PT21107/2021,Portugal/PT22203/2021	AY.102 (47.4%), AY.33 (36.8%), AY.39 (5.3%), AY.46 (5.3%), B.1.617.2 (5.3%) (n = 19)	21J (Delta) (100.0%) (n = 19)	2021-11-01	2021-11-28	27	4	LX V TEJO (47.4%), ACORES-RA (42.1%), CENTRO (5.3%), MADEIRA-RA (5.3%) (n = 19)	10.00 (100.0%) (n = 19)
root_dist-41x1.0	132	15	Portugal/PT20558/2021,Portugal/PT20678/2021,Portugal/PT23933/2021,Portugal/PT23479/2021,Portugal/PT20679/2021,Portugal/PT22523/2021,Portugal/PT22655/2021,Portugal/PT20469/2021,Portugal/PT22508/2021,Portugal/PT21204/2021,Portugal/PT21861/2021,Portugal/PT22214/2021,Portugal/PT22213/2021,Portugal/PT21864/2021,Portugal/PT23038/2021	AY.103 (100.0%) (n = 15)	21J (Delta) (100.0%) (n = 15)	2021-11-02	2021-12-14	42	3	LX V TEJO (73.3%), NORTE (20.0%), CENTRO (6.7%) (n = 15)	7.00 (100.0%) (n = 15)
root_dist-41x1.0	229	3	Portugal/PT22038/2021,Portugal/PT22400/2021,Portugal/PT23854/2021	AY.4.5 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-20	2021-12-12	22	1	CENTRO (100.0%) (n = 3)	8.00 (100.0%) (n = 3)
root_dist-41x1.0	189	2	Portugal/PT21406/2021,Portugal/PT22042/2021	AY.4 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-15	2021-11-21	6	1	CENTRO (100.0%) (n = 2)	8.00 (100.0%) (n = 2)
root_dist-41x1.0	20	2	Portugal/PT22764/2021,Portugal/PT22765/2021	AY.122 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-27	2021-11-27	0	1	MADEIRA-RA (100.0%) (n = 2)	7.00 (100.0%) (n = 2)
root_dist-41x1.0	182	3	Portugal/PT20801/2021,Portugal/PT20796/2021,Portugal/PT23760/2021	AY.4 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-09	2021-12-14	35	1	ALGARVE (100.0%) (n = 3)	8.00 (100.0%) (n = 3)
root_dist-41x1.0	82	10	Portugal/PT21683/2021,Portugal/PT21700/2021,Portugal/PT21866/2021,Portugal/PT21851/2021,Portugal/PT21282/2021,Portugal/PT21799/2021,Portugal/PT22876/2021,Portugal/PT22877/2021,Portugal/PT21834/2021,Portugal/PT21833/2021	AY.5 (100.0%) (n = 10)	21J (Delta) (100.0%) (n = 10)	2021-11-14	2021-12-03	19	3	CENTRO (50.0%), LX V TEJO (40.0%), ALENTEJO (10.0%) (n = 10)	7.00 (60.0%), 8.00 (40.0%) (n = 10)
root_dist-41x1.0	122	12	Portugal/PT21657/2021,Portugal/PT22257/2021,Portugal/PT20736/2021,Portugal/PT20650/2021,Portugal/PT21076/2021,Portugal/PT21346/2021,Portugal/PT24077/2021,Portugal/PT20950/2021,Portugal/PT20951/2021,Portugal/PT20407/2021,Portugal/PT21077/2021,Portugal/PT21078/2021	AY.125 (100.0%) (n = 12)	21J (Delta) (100.0%) (n = 12)	2021-11-01	2021-12-21	50	1	NORTE (100.0%) (n = 12)	8.00 (91.7%), 9.00 (8.3%) (n = 12)
root_dist-41x1.0	9	2	Portugal/PT24846/2022,Portugal/PT24844/2022	AY.122 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2022-01-03	2022-01-03	0	1	ALENTEJO (100.0%) (n = 2)	9.00 (100.0%) (n = 2)
root_dist-41x1.0	259	2	Portugal/PT21332/2021,Portugal/PT22064/2021	AY.26 (100.0%) (n = 2)	21I (Delta) (100.0%) (n = 2)	2021-11-16	2021-11-22	6	1	CENTRO (100.0%) (n = 2)	8.00 (100.0%) (n = 2)
root_dist-41x1.0	3	2	Portugal/PT24852/2022,Portugal/PT24854/2022	AY.122 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2022-01-03	2022-01-03	0	1	ALENTEJO (100.0%) (n = 2)	7.00 (100.0%) (n = 2)
root_dist-41x1.0	22	2	Portugal/PT21381/2021,Portugal/PT24170/2021	AY.122 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-15	2021-12-20	35	1	NORTE (100.0%) (n = 2)	7.00 (100.0%) (n = 2)
root_dist-41x1.0	55	10	Portugal/PT24367/2021,Portugal/PT24356/2021,Portugal/PT24372/2021,Portugal/PT24430/2021,Portugal/PT24920/2022,Portugal/PT23545/2021,Portugal/PT24339/2021,Portugal/PT24334/2021,Portugal/PT24345/2021,Portugal/PT23567/2021	AY.43 (100.0%) (n = 10)	21J (Delta) (100.0%) (n = 10)	2021-12-12	2022-01-02	21	1	ALENTEJO (100.0%) (n = 10)	7.00 (80.0%), 8.00 (20.0%) (n = 10)
root_dist-41x1.0	146	3	Portugal/PT20214/2021,Portugal/PT21235/2021,Portugal/PT21236/2021	AY.124 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-11-02	2021-11-14	12	2	ALGARVE (66.7%), LX V TEJO (33.3%) (n = 3)	8.00 (66.7%), 9.00 (33.3%) (n = 3)
root_dist-41x1.0	178	2	Portugal/PT21337/2021,Portugal/PT21338/2021	AY.4 (100.0%) (n = 2)	21J (Delta) (100.0%) (n = 2)	2021-11-13	2021-11-13	0	1	ALENTEJO (100.0%) (n = 2)	8.00 (100.0%) (n = 2)
root_dist-41x1.0	157	5	Portugal/PT20356/2021,Portugal/PT20361/2021,Portugal/PT22534/2021,Portugal/PT20841/2021,Portugal/PT20842/2021	AY.85 (100.0%) (n = 5)	21J (Delta) (100.0%) (n = 5)	2021-11-01	2021-11-28	27	3	ALGARVE (40.0%), ALENTEJO (40.0%), NORTE (20.0%) (n = 5)	10.00 (60.0%), 8.00 (20.0%), 11.00 (20.0%) (n = 5)
root_dist-41x1.0	258	2	Portugal/PT23516/2021,Portugal/PT24046/2021	B.1.617.2 (100.0%) (n = 2)	21I (Delta) (100.0%) (n = 2)	2021-12-12	2021-12-20	8	1	CENTRO (100.0%) (n = 2)	9.00 (100.0%) (n = 2)
root_dist-41x1.0	41	4	Portugal/PT22785/2021,Portugal/PT24266/2021,Portugal/PT22786/2021,Portugal/PT22784/2021	AY.43 (100.0%) (n = 4)	21J (Delta) (100.0%) (n = 4)	2021-11-26	2021-12-20	24	2	MADEIRA-RA (75.0%), LX V TEJO (25.0%) (n = 4)	7.00 (100.0%) (n = 4)
root_dist-41x1.0	72	3	Portugal/PT23504/2021,Portugal/PT23511/2021,Portugal/PT23508/2021	AY.46 (100.0%) (n = 3)	21J (Delta) (100.0%) (n = 3)	2021-12-09	2021-12-11	2	1	CENTRO (100.0%) (n = 3)	7.00 (100.0%) (n = 3)
