country	pango_lineage_usher	first_seq_date	last_seq_date	timespan_days
China	XBB.1.16.1 (100.0%) (n = 20)	2023-03-30	2023-04-11	12
USA	XBB.1.16.1 (100.0%) (n = 61)	2023-02-27	2023-04-08	40
Scotland	XBB.1.16.1 (100.0%) (n = 7)	2023-02-28	2023-03-30	30
India	XBB.1.16.1 (100.0%) (n = 38)	2023-02-05	2023-03-14	37
Wales	XBB.1.16.1 (100.0%) (n = 8)	2023-03-01	2023-04-08	38
Switzerland	XBB.1.16.1 (100.0%) (n = 1)	2023-03-26	2023-03-26	0
England	XBB.1.16.1 (100.0%) (n = 44)	2023-03-02	2023-04-10	39
